구분,총 전력수요,,,,,,,,,,,,,,,,,,,,,,,
20160512,2477750 ,,,,,,,,,,,,,,,,,,,,,,,
20160513,2371490 ,,,,,,,,,,,,,,,,,,,,,,,
20160514,2404620 ,,,,,,,,,,,,,,,,,,,,,,,
20160515,2370070 ,,,,,,,,,,,,,,,,,,,,,,,
20160516,2555720 ,,,,,,,,,,,,,,,,,,,,,,,
20160517,2439910 ,,,,,,,,,,,,,,,,,,,,,,,
20160518,2517640 ,,,,,,,,,,,,,,,,,,,,,,,
20160519,2520350 ,,,,,,,,,,,,,,,,,,,,,,,
20160520,2412510 ,,,,,,,,,,,,,,,,,,,,,,,
20160521,2494980 ,,,,,,,,,,,,,,,,,,,,,,,
20160522,2383850 ,,,,,,,,,,,,,,,,,,,,,,,
20160523,2593890 ,,,,,,,,,,,,,,,,,,,,,,,
20160524,2618750 ,,,,,,,,,,,,,,,,,,,,,,,
20160525,2622280 ,,,,,,,,,,,,,,,,,,,,,,,
20160526,2474300 ,,,,,,,,,,,,,,,,,,,,,,,
20160527,2397400 ,,,,,,,,,,,,,,,,,,,,,,,
20160528,2488870 ,,,,,,,,,,,,,,,,,,,,,,,
20160529,2400850 ,,,,,,,,,,,,,,,,,,,,,,,
20160530,2595600 ,,,,,,,,,,,,,,,,,,,,,,,
20160531,2652870 ,,,,,,,,,,,,,,,,,,,,,,,
20160601,2665030 ,,,,,,,,,,,,,,,,,,,,,,,
20160602,2556480 ,,,,,,,,,,,,,,,,,,,,,,,
20160603,2410440 ,,,,,,,,,,,,,,,,,,,,,,,
20160604,2546460 ,,,,,,,,,,,,,,,,,,,,,,,
20160605,2438580 ,,,,,,,,,,,,,,,,,,,,,,,
20160606,2531170 ,,,,,,,,,,,,,,,,,,,,,,,
20160607,2621540 ,,,,,,,,,,,,,,,,,,,,,,,
20160608,2679200 ,,,,,,,,,,,,,,,,,,,,,,,
20160609,2567920 ,,,,,,,,,,,,,,,,,,,,,,,
20160610,2433650 ,,,,,,,,,,,,,,,,,,,,,,,
20160611,2515430 ,,,,,,,,,,,,,,,,,,,,,,,
20160612,2455560 ,,,,,,,,,,,,,,,,,,,,,,,
20160613,2631220 ,,,,,,,,,,,,,,,,,,,,,,,
20160614,2686190 ,,,,,,,,,,,,,,,,,,,,,,,
20160615,2688400 ,,,,,,,,,,,,,,,,,,,,,,,
20160616,2611480 ,,,,,,,,,,,,,,,,,,,,,,,
20160617,2461800 ,,,,,,,,,,,,,,,,,,,,,,,
20160618,2460650 ,,,,,,,,,,,,,,,,,,,,,,,
20160619,2437980 ,,,,,,,,,,,,,,,,,,,,,,,
20160620,2644400 ,,,,,,,,,,,,,,,,,,,,,,,
20160621,2696190 ,,,,,,,,,,,,,,,,,,,,,,,
20160622,2726890 ,,,,,,,,,,,,,,,,,,,,,,,
20160623,2624270 ,,,,,,,,,,,,,,,,,,,,,,,
20160624,2515880 ,,,,,,,,,,,,,,,,,,,,,,,
20160625,2584740 ,,,,,,,,,,,,,,,,,,,,,,,
20160626,2534420 ,,,,,,,,,,,,,,,,,,,,,,,
20160627,2719580 ,,,,,,,,,,,,,,,,,,,,,,,
20160628,2744740 ,,,,,,,,,,,,,,,,,,,,,,,
20160629,2733440 ,,,,,,,,,,,,,,,,,,,,,,,
20160630,2637900 ,,,,,,,,,,,,,,,,,,,,,,,
20160701,2532610 ,,,,,,,,,,,,,,,,,,,,,,,
20160702,2598600 ,,,,,,,,,,,,,,,,,,,,,,,
20160703,2539950 ,,,,,,,,,,,,,,,,,,,,,,,
20160704,2734930 ,,,,,,,,,,,,,,,,,,,,,,,
20160705,2791960 ,,,,,,,,,,,,,,,,,,,,,,,
20160706,2783770 ,,,,,,,,,,,,,,,,,,,,,,,
20160707,2688930 ,,,,,,,,,,,,,,,,,,,,,,,
20160708,2591220 ,,,,,,,,,,,,,,,,,,,,,,,
20160709,2641150 ,,,,,,,,,,,,,,,,,,,,,,,
20160710,2576990 ,,,,,,,,,,,,,,,,,,,,,,,
20160711,2754180 ,,,,,,,,,,,,,,,,,,,,,,,
20160712,2828140 ,,,,,,,,,,,,,,,,,,,,,,,
20160713,2861090 ,,,,,,,,,,,,,,,,,,,,,,,
20160714,2764460 ,,,,,,,,,,,,,,,,,,,,,,,
20160715,2621080 ,,,,,,,,,,,,,,,,,,,,,,,
20160716,2672910 ,,,,,,,,,,,,,,,,,,,,,,,
20160717,2630260 ,,,,,,,,,,,,,,,,,,,,,,,
20160718,2796180 ,,,,,,,,,,,,,,,,,,,,,,,
20160719,2853980 ,,,,,,,,,,,,,,,,,,,,,,,
20160720,2852020 ,,,,,,,,,,,,,,,,,,,,,,,
20160721,2718590 ,,,,,,,,,,,,,,,,,,,,,,,
20160722,2638730 ,,,,,,,,,,,,,,,,,,,,,,,
20160723,2684530 ,,,,,,,,,,,,,,,,,,,,,,,
20160724,2641270 ,,,,,,,,,,,,,,,,,,,,,,,
20160725,2882450 ,,,,,,,,,,,,,,,,,,,,,,,
20160726,2955880 ,,,,,,,,,,,,,,,,,,,,,,,
20160727,2952900 ,,,,,,,,,,,,,,,,,,,,,,,
20160728,2848870 ,,,,,,,,,,,,,,,,,,,,,,,
20160729,2747430 ,,,,,,,,,,,,,,,,,,,,,,,
20160730,2785000 ,,,,,,,,,,,,,,,,,,,,,,,
20160731,2719210 ,,,,,,,,,,,,,,,,,,,,,,,
20160801,2755560 ,,,,,,,,,,,,,,,,,,,,,,,
20160802,2816900 ,,,,,,,,,,,,,,,,,,,,,,,
20160803,2879530 ,,,,,,,,,,,,,,,,,,,,,,,
20160804,2745680 ,,,,,,,,,,,,,,,,,,,,,,,
20160805,2699640 ,,,,,,,,,,,,,,,,,,,,,,,
20160806,2805810 ,,,,,,,,,,,,,,,,,,,,,,,
20160807,2752020 ,,,,,,,,,,,,,,,,,,,,,,,
20160808,2947670 ,,,,,,,,,,,,,,,,,,,,,,,
20160809,3044920 ,,,,,,,,,,,,,,,,,,,,,,,
20160810,3070620 ,,,,,,,,,,,,,,,,,,,,,,,
20160811,2928180 ,,,,,,,,,,,,,,,,,,,,,,,
20160812,2845590 ,,,,,,,,,,,,,,,,,,,,,,,
20160813,2756340 ,,,,,,,,,,,,,,,,,,,,,,,
20160814,2698440 ,,,,,,,,,,,,,,,,,,,,,,,
20160815,2859550 ,,,,,,,,,,,,,,,,,,,,,,,
20160816,2979490 ,,,,,,,,,,,,,,,,,,,,,,,
20160817,3106150 ,,,,,,,,,,,,,,,,,,,,,,,
20160818,2970120 ,,,,,,,,,,,,,,,,,,,,,,,
20160819,2837530 ,,,,,,,,,,,,,,,,,,,,,,,
20160820,2899380 ,,,,,,,,,,,,,,,,,,,,,,,
20160821,2863060 ,,,,,,,,,,,,,,,,,,,,,,,
20160822,3084810 ,,,,,,,,,,,,,,,,,,,,,,,
20160823,3142180 ,,,,,,,,,,,,,,,,,,,,,,,
20160824,3159220 ,,,,,,,,,,,,,,,,,,,,,,,
20160825,3001390 ,,,,,,,,,,,,,,,,,,,,,,,
20160826,2876240 ,,,,,,,,,,,,,,,,,,,,,,,
20160827,2840020 ,,,,,,,,,,,,,,,,,,,,,,,
20160828,2857700 ,,,,,,,,,,,,,,,,,,,,,,,
20160829,3089360 ,,,,,,,,,,,,,,,,,,,,,,,
20160830,3025590 ,,,,,,,,,,,,,,,,,,,,,,,
20160831,2992190 ,,,,,,,,,,,,,,,,,,,,,,,
20160901,2826040 ,,,,,,,,,,,,,,,,,,,,,,,
20160902,2685750 ,,,,,,,,,,,,,,,,,,,,,,,
20160903,2837770 ,,,,,,,,,,,,,,,,,,,,,,,
20160904,2793360 ,,,,,,,,,,,,,,,,,,,,,,,
20160905,2956360 ,,,,,,,,,,,,,,,,,,,,,,,
20160906,2970530 ,,,,,,,,,,,,,,,,,,,,,,,
20160907,2974070 ,,,,,,,,,,,,,,,,,,,,,,,
