"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.08304789047547","1.27845936648141","1.15619571167686","0.586731178385615","0.30263459428677","0.362658136620409","0.250824171714985","0.315495954185257","0.305475989627893","0.26503771163629","0.286484626762913","0.264328061273194","0.202371307221095","0.199139556698212","0.193604326617524","0.201622199559355","0.179309543017988","0.182641700344722","0.186952449261944","0.172505231729836","0.162429371066235","0.176585524821272","0.190734561372398","0.177539803198673","0.170747301074621","0.161225914486011","0.152768505394734","0.149117645738741","0.147874963165889","","",
"American Samoa","ASM","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.217242045250749","0.222738819072652","0.290247812602222","0.237665197398408","0.222790151526138","0.251581268903823","0.244735627722597","0.248613582140495","0.261120980143449","0.251785727417889","0.237078712472697","0.263427825961712","0.290548644498323","0.287951100558508","0.265610092928864","0.255696955661349","0.243466415316574","0.23284286547098","0.243001316290532","0.799310394307464","0.305743390267416","0.324579976732505","0.443279336474132","0.29111212424099","0.286433754126667","0.281628026540733","0.272399584381836","0.264094861033751","0.261747977907713","","",
"Australia","AUS","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.497346941690724","0.501436033977319","0.506263431770916","0.493905534871977","0.485987080697569","0.485391409027339","0.484373641759603","0.477059440226023","0.487245849440959","0.471332634504859","0.461352945310144","0.460829357598269","0.453285209595421","0.439020306668576","0.437827915261536","0.429158752513174","0.423762471134926","0.419292674114095","0.407781730089176","0.406674589404584","0.390770125308502","0.379822082317871","0.365501151891592","0.350288081616205","0.333175891139241","0.331395236231262","0.329313806698276","0.324624339370087","0.314852182939442","","",
"Austria","AUT","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.202702845163596","0.209914889524879","0.189963968778781","0.189394439162465","0.186519609053378","0.190679885101623","0.197630621635114","0.191549633623899","0.186222434754949","0.175322467555219","0.170888478266306","0.180384406554311","0.18126874753147","0.192754551767882","0.190999347096777","0.187891639305302","0.176520566747383","0.163609101556215","0.160099706424352","0.151520935729354","0.161583022464115","0.153201934203852","0.145123222002668","0.146512345958434","0.13722640430865","0.138390308367097","0.136206514270136","0.138134695457529","0.129239519637392","","",
"Azerbaijan","AZE","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03563833256959","1.21537195626479","1.04527026774826","1.63037982429862","1.80501819452317","1.96865435638745","1.71453135307745","1.58401968862162","1.4370991748343","1.31735942902245","1.2233506974128","1.07725886880637","0.969348071929869","0.792134508017454","0.719762286098535","0.604723175732171","0.41928994789298","0.269056598248938","0.261595171700568","0.203283574857055","0.186353455002961","0.223905240457202","0.235954900435807","0.227494100672951","0.230045097993937","0.224446378458062","0.235066547024782","0.229747426671576","0.22670525437909","","",
"Burundi","BDI","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0294833870388858","0.0339918964195129","0.0292626188261217","0.0327706375510703","0.0340757383277267","0.0387688885048457","0.0421400961999761","0.0447673560783969","0.04273733277374","0.0431733839501244","0.0492264990779602","0.0389589439018183","0.0390765838214047","0.030569631167753","0.0274448284856148","0.0272000282312879","0.0306411791770796","0.0296187538656477","0.02973214413302","0.0286401670415295","0.0435906130679031","0.048447933773048","0.0488926284736622","0.0489876930924881","0.0447023774240054","0.0489019859985199","0.0551968348765355","0.0680557922332703","0.0693275870093164","","",
"Belgium","BEL","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.308909898468421","0.316253627696644","0.307030589574353","0.303885678560507","0.307192291179866","0.299175408340734","0.307850407759173","0.289621149921474","0.290794328435491","0.271672168663938","0.265950566152477","0.265435501433153","0.244462804308067","0.252100908173724","0.240289302243791","0.22781372625085","0.218207467788938","0.202604047795819","0.206215288139341","0.196178590218556","0.203727549247667","0.179823550411619","0.177364670252656","0.179621613904472","0.165024519953328","0.170763427738436","0.167068705683328","0.161701135550801","0.160059522048998","","",
"Benin","BEN","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0350901429815386","0.0292375007673624","0.0309791807979375","0.0341493620617364","0.0318791161580059","0.0345710923721893","0.0756413301080164","0.08448391938554","0.0851971803149252","0.0883427520464848","0.0899190062663558","0.102662746308758","0.113036995540064","0.122675594995978","0.124875652646003","0.134904016213526","0.178805355736617","0.193373223129462","0.182666856867906","0.192890496066716","0.204169619958624","0.194389313984056","0.176527998072023","0.174413015866504","0.179993955803607","0.192255418271213","0.22455512861987","0.216323845795031","0.217896271891736","","",
"Burkina Faso","BFA","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0658072392418446","0.0613575004248275","0.0622352971976622","0.0611392820697396","0.0603457313145497","0.0589240488795732","0.0597123883539378","0.0639651996740964","0.0639707752355263","0.0629501640464768","0.0697554523550019","0.0635590233299521","0.0609077317953017","0.0609306950418684","0.0599094262885752","0.0561096254879854","0.0642873747429085","0.0740983842682918","0.0796245864841413","0.0781437716716179","0.0780312709477771","0.0770363963611603","0.089142744449951","0.0923459664209251","0.0900061837077049","0.0975079550901552","0.0947317410554854","0.10372491746964","0.101958873043285","","",
