일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2019-09-16",KAU19,"30,500",250,"0.83","30,300","30,500","30,300","4,500","136,950,000","30,433"
"2019-09-16",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-16",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-16",KOC,"30,500",0,"0.00","0","0","0","0","0","0"
"2019-09-11",KAU18,"30,750",450,"1.49","30,000","30,750","30,000","39,515","1,176,727,650","29,779"
"2019-09-11",KAU19,"30,250",100,"0.33","30,250","30,250","30,250","6,000","181,500,000","30,250"
"2019-09-11",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-11",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-11",KOC,"30,500",0,"0.00","0","0","0","0","0","0"
"2019-09-10",KAU18,"30,300",-450,"-1.46","30,700","30,700","30,300","24,120","731,276,000","30,318"
"2019-09-10",KAU19,"30,150",50,"0.17","30,150","30,150","30,150","4,500","135,675,000","30,150"
"2019-09-10",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-10",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-10",KOC,"30,500",0,"0.00","0","0","0","0","0","0"
"2019-09-09",KAU18,"30,750",450,"1.49","30,500","30,750","30,500","30,880","942,614,750","30,525"
"2019-09-09",KAU19,"30,100",100,"0.33","30,100","30,100","30,100","4,500","135,450,000","30,100"
"2019-09-09",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-09",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-09",KOC,"30,500",400,"1.33","30,500","30,500","30,500","5,000","152,500,000","30,500"
"2019-09-06",KAU18,"30,300",200,"0.66","30,100","30,300","30,100","64,222","1,931,663,300","30,078"
"2019-09-06",KAU19,"30,000",100,"0.33","30,000","30,000","30,000","4,500","135,000,000","30,000"
"2019-09-06",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-06",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-06",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-09-05",KAU18,"30,100",100,"0.33","30,000","30,100","30,000","128,088","3,844,090,000","30,011"
"2019-09-05",KAU19,"29,900",-100,"-0.33","29,900","29,900","29,900","4,500","134,550,000","29,900"
"2019-09-05",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-05",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-05",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-09-04",KAU18,"30,000",0,"0.00","30,000","30,000","29,950","91,047","2,731,247,450","29,998"
"2019-09-04",KAU19,"30,000",300,"1.01","29,950","30,000","29,950","4,500","134,825,000","29,961"
"2019-09-04",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-04",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-04",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-09-03",KAU18,"30,000",50,"0.17","29,950","30,000","29,950","17,041","510,777,950","29,973"
"2019-09-03",KAU19,"29,700",50,"0.17","29,700","29,700","29,700","4,500","133,650,000","29,700"
"2019-09-03",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-03",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-03",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-09-02",KAU18,"29,950",0,"0.00","29,950","29,950","29,950","32,330","968,283,500","29,950"
"2019-09-02",KAU19,"29,650",-200,"-0.67","29,650","29,650","29,650","1,500","44,475,000","29,650"
"2019-09-02",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-02",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-02",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-08-30",KAU18,"29,950",200,"0.67","29,950","29,950","29,850","42,440","1,267,848,250","29,874"
"2019-08-30",KAU19,"29,850",100,"0.34","29,800","29,900","29,800","47,800","1,426,415,000","29,841"
"2019-08-30",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-30",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-30",KOC,"30,100",0,"0.00","0","0","0","3,000","90,300,000","30,100"
"2019-08-29",KAU18,"29,750",50,"0.17","29,700","29,750","29,700","74,256","2,206,324,700","29,712"
"2019-08-29",KAU19,"29,750",150,"0.51","29,700","29,850","29,700","51,500","1,533,780,000","29,782"
"2019-08-29",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-29",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-29",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
